class,itemset,support
gender,fuck,0.06538099717779869
gender,funni,0.0636563185951709
gender,gay,0.4619002822201317
gender,get,0.06710567576042646
gender,girl,0.051113201630605204
gender,im,0.12229539040451552
gender,joke,0.4719347757917843
gender,like,0.11132016306052053
gender,make,0.1484791470680464
gender,men,0.06506741925368455
gender,mkr,0.08043273753527752
gender,one,0.05236751332706178
gender,peopl,0.1039510818438382
gender,rape,0.4722483537158984
gender,rt,0.15365318281592977
gender,say,0.07008466603951082
gender,sexist,0.11790529946691752
gender,think,0.06820319849482596
gender,women,0.09783631232361242
gender,"bitch, call",0.09532768893069928
gender,"bitch, femal",0.09470053308247099
gender,"femal, call",0.10003135779241142
gender,"rape, dont",0.05001567889620571
gender,"gay, funni",0.05174035747883349
gender,"joke, funni",0.055973659454374415
gender,"rape, funni",0.05283788021323299
gender,"gay, joke",0.4404201944183129
gender,"gay, like",0.05957980558168705
gender,"make, gay",0.1213546566321731
gender,"gay, peopl",0.0843524615867043
gender,"gay, rape",0.4479460645970524
gender,"rt, im",0.05017246785826278
gender,"sexist, im",0.06302916274694262
gender,"like, joke",0.06052053935402948
gender,"make, joke",0.1273126371903418
gender,"peopl, joke",0.08466603951081844
gender,"rape, joke",0.44481028535591094
gender,"rape, like",0.06052053935402948
gender,"make, rape",0.12370649106302917
gender,"rape, peopl",0.08529319535904673
gender,"rt, sexist",0.06506741925368455
gender,"bitch, femal, call",0.0929758544998432
gender,"gay, joke, funni",0.05064283474443399
gender,"gay, rape, funni",0.05064283474443399
gender,"joke, rape, funni",0.05158356851677642
gender,"gay, like, joke",0.056130448416431486
gender,"make, gay, joke",0.11931640012543117
gender,"gay, peopl, joke",0.0799623706491063
gender,"gay, rape, joke",0.4292881781122609
gender,"rape, gay, like",0.058011915961116337
gender,"rape, make, gay",0.11931640012543117
gender,"rape, gay, peopl",0.0821574161179053
gender,"rape, like, joke",0.05675760426465977
gender,"make, rape, joke",0.1218250235183443
gender,"rape, peopl, joke",0.08200062715584823
gender,"rape, gay, like, joke",0.05487613671997491
gender,"rape, make, gay, joke",0.11774851050486046
gender,"rape, gay, peopl, joke",0.0788648479147068
age,back,0.05442602439787301
age,bulli,0.9721614013137316
age,dont,0.06818892711917422
age,friend,0.06803253049734126
age,get,0.11948701908038786
age,girl,0.5145448858304661
age,go,0.06818892711917422
age,got,0.09149202377228652
age,high,0.5971223021582733
age,im,0.0985298717547701
age,kid,0.08507976227713482
age,know,0.0598999061620269
age,like,0.22051923678448546
age,look,0.06412261495151705
age,make,0.05301845480137629
age,middl,0.08601814200813263
age,never,0.051923678448545514
age,one,0.11620269002189552
age,peopl,0.09915545824210197
age,say,0.053331248045042225
age,school,0.9374413512668126
age,think,0.05301845480137629
age,time,0.0539568345323741
age,use,0.05239286831404442
age,would,0.0747575852361589
age,year,0.06568658116984673
age,"bulli, back",0.05223647169221145
age,"school, back",0.051610885204879574
age,"bulli, dont",0.06646856427901157
age,"bulli, friend",0.06756334063184236
age,"get, bulli",0.11807944948389115
age,"bulli, girl",0.5120425398811386
age,"bulli, go",0.06490459806068188
age,"bulli, got",0.09071004066312167
age,"high, bulli",0.5935251798561151
age,"bulli, im",0.09649671567094151
age,"bulli, kid",0.08351579605880513
age,"bulli, know",0.05896152643102909
age,"bulli, like",0.21692211448232718
age,"bulli, look",0.06396621832968408
age,"bulli, make",0.051923678448545514
age,"bulli, middl",0.08461057241163591
age,"bulli, never",0.051610885204879574
age,"one, bulli",0.11463872380356584
age,"bulli, peopl",0.0980606818892712
age,"bulli, say",0.05301845480137629
age,"bulli, school",0.9196121363778542
age,"bulli, think",0.05239286831404442
age,"time, bulli",0.05301845480137629
age,"bulli, use",0.051923678448545514
age,"bulli, would",0.07350641226149515
