Class,Rules
ethnicity,dumb f**k let n****r
ethnicity,dumb f**k n****r one
ethnicity,im like
ethnicity,dumb f**k n****r peopl
ethnicity,dumb f**k n****r that
ethnicity,color ur
ethnicity,dumb f**k mean n****r
ethnicity,dumb f**k n****r said
ethnicity,dumb f**k tri
ethnicity,dumb f**k n****r your
ethnicity,dont im
ethnicity,dumb f**k hate n****r
ethnicity,black want
ethnicity,dumb f**k n****r word
ethnicity,black that
ethnicity,dumb f**k man n****r
ethnicity,dumb f**k need
ethnicity,amp dumb f**k n****r
ethnicity,dont racism
ethnicity,s**t say
ethnicity,black think
ethnicity,black said
ethnicity,black make
ethnicity,a*s dumb peopl
ethnicity,dumb n****r need
ethnicity,f**k girl n****r
ethnicity,black hate
ethnicity,black still
ethnicity,f**k n****r need
ethnicity,black your
ethnicity,black im n****r
ethnicity,like say
ethnicity,a*s n****r peopl
ethnicity,black cant
ethnicity,f**k n****r tri
ethnicity,b***h black n****r
ethnicity,color like
ethnicity,a*s n****r say
ethnicity,black n****r rt
ethnicity,color one
ethnicity,black know
ethnicity,dont first
ethnicity,f**k sound
ethnicity,black yall
ethnicity,racism ur
ethnicity,know white
ethnicity,im peopl
ethnicity,dont one
ethnicity,one racism
ethnicity,get im
ethnicity,black like n****r
ethnicity,black dont n****r
ethnicity,dont ur
ethnicity,call im
ethnicity,black f**k white
ethnicity,get peopl
ethnicity,black get
ethnicity,black look
ethnicity,call get
ethnicity,like racism
ethnicity,black go
ethnicity,one say
ethnicity,call dont
ethnicity,face n****r
ethnicity,get one
ethnicity,n****r oh
ethnicity,say ur
ethnicity,get like
ethnicity,im white
ethnicity,call color
ethnicity,b***h im
ethnicity,f**k real
ethnicity,dumb girl
ethnicity,get white
ethnicity,guy n****r
ethnicity,n****r real
ethnicity,call racism
ethnicity,one peopl
ethnicity,f**k hes
ethnicity,hes n****r
ethnicity,n****r someon
ethnicity,call one
ethnicity,n****r use
ethnicity,n****r way
ethnicity,live n****r
ethnicity,love n****r
ethnicity,n****r never
ethnicity,n****r person
ethnicity,ur white
ethnicity,n****r time
ethnicity,black first
ethnicity,n****r racism
gender,g*y insult joke r**e use
gender,kat mkr
gender,b***h call dog femal
gender,femal im rt sexist
gender,b***h call f**k femal
gender,b***h call femal women
gender,im rt sexist women
gender,b***h call femal say
gender,b***h call femal like
gender,b***h call dont femal
gender,arent funni
gender,use word
gender,b***h call femal im
gender,call rt sexist
gender,call femal male
gender,date g*y joke make r**e
gender,call femal men
gender,dont g*y joke like r**e
gender,g*y joke peopl r**e use
gender,men women
gender,g*y peopl r**e think
gender,dont g*y joke peopl r**e
gender,joke peopl r**e think
gender,g*y joke like peopl r**e
gender,dont know
gender,g*y joke make peopl r**e
gender,sexist woman
gender,g*y joke make r**e use
gender,g*y joke make r**e say
gender,funni g*y joke peopl r**e
gender,girl sexist
gender,joke peopl say
gender,rt woman
gender,g*y joke like make r**e
gender,dont g*y joke make r**e
gender,bad g*y joke r**e
gender,arent g*y joke r**e
gender,g*y joke r**e time
gender,g*y joke r**e watch
gender,g*y joke made r**e
gender,g*y joke prison r**e
gender,g*y joke know r**e
gender,g*y joke r**e s*x
gender,g*y joke laugh r**e
gender,g*y joke r**e year
gender,fun g*y joke r**e
gender,g*y joke r**e tell
gender,black g*y joke r**e
gender,g*y joke r**e thing
gender,g*y joke okay r**e
gender,everyon g*y joke r**e
gender,f**k g*y joke r**e
gender,g*y joke r**e that
gender,g*y guy joke r**e
gender,g*y joke r**e word
gender,g*y isnt joke r**e
gender,g*y joke r**e realli
gender,g*y joke r**e talk
gender,g*y joke r**e still
gender,g*y joke ok r**e
gender,g*y joke need r**e
gender,g*y joke love r**e
gender,g*y good joke r**e
gender,g*y r**e tweet
gender,g*y joke r**e s**t
gender,call g*y joke r**e
gender,g*y joke r**e see
gender,g*y joke r**e your
gender,g*y joke much r**e
gender,g*y joke r**e said
gender,g*y joke r**e take
gender,g*y got joke r**e
gender,g*y joke man r**e
gender,doesnt g*y joke r**e
gender,joke r**e show
gender,g*y r**e show
gender,g*y joke never r**e
gender,also g*y joke r**e
gender,g*y im joke r**e
gender,g*y go joke r**e
gender,g*y joke one r**e
gender,g*y girl joke r**e
gender,etc g*y joke r**e
gender,g*y joke men r**e
gender,g*y joke r**e way
gender,g*y joke r**e stop
gender,g*y person r**e
gender,even g*y joke r**e
gender,g*y joke r**e right
gender,g*y hate joke r**e
gender,girl rt
gender,cant g*y joke r**e
gender,g*y joke r**e racist
gender,g*y joke r**e think
gender,g*y joke r**e women
gender,g*y joke r**e someon
gender,better g*y joke
gender,g*y get joke r**e
gender,come g*y joke r**e
gender,boy g*y joke r**e
gender,amp g*y joke r**e
gender,g*y joke k**l r**e
gender,g*y hes joke r**e
gender,g*y joke r**e white
gender,g*y joke r**e would
gender,g*y r**e sexist
gender,g*y joke r**e victim
gender,g*y joke r**e want
gender,funni joke make r**e
gender,friend g*y joke r**e
gender,g*y r**e tri
gender,g*y joke mean
gender,g*y mean r**e
gender,g*y joke tri
gender,dont say
gender,joke r**e tri
gender,funni g*y make
gender,like say
gender,dont think
gender,dont men
gender,girl im
gender,call one
gender,call man
gender,dont get
gender,men sexist
gender,get peopl
gender,g*y someth
gender,call use
gender,dont women
gender,get like
gender,dont sexist
gender,femal think
gender,give r**e
gender,b***h get
gender,dont im
gender,joke theyr
gender,im like
gender,actual joke
gender,find r**e
gender,im say
gender,call get
gender,r**e theyr
gender,joke person
gender,call think
gender,make think
gender,make men
gender,dont rt
gender,get make
gender,men rt
gender,like women
gender,peopl women
gender,mkr rt
gender,male r**e
gender,call peopl
gender,im make
gender,make women
gender,like rt
other_cyberbullying,bulli lol
other_cyberbullying,dont know
other_cyberbullying,f**k rt
other_cyberbullying,go im
other_cyberbullying,bulli get
other_cyberbullying,bulli im
religion,isi k**l quran terrorist
religion,isi like quran terrorist
religion,human jihad k**l terrorist
religion,isi muslim quran terrorist
religion,isi islam quran terrorist
religion,human jihad muslim terrorist
religion,human islam jihad terrorist
religion,christian radic support trump
religion,christian radic right support
religion,christian im right woman
religion,christian g*d right woman
religion,christian right say woman
religion,christian good right woman
religion,amp christian radic support
religion,christian peopl radic support
religion,christian like right woman
religion,christian islam radic support
religion,christian dont radic support
religion,christian like radic support
religion,christian muslim radic support
religion,islam terror ur
religion,quran read
religion,india islam terror
religion,islam terror world
religion,islam terror us
religion,islam radic terror
religion,dont idiot know muslim
religion,islam say terror
religion,dont islam terror
religion,islam know terror
religion,islam k**l terror
religion,islam peopl terror
religion,islam like terror
religion,christian know right
religion,christian peopl right
religion,group terrorist
religion,islam terror terrorist
religion,islam k**l terrorist
religion,k**l muslim terrorist
religion,idiot like muslim peopl
religion,islam muslim terror
religion,like look
religion,christian dont right
religion,name terrorist
religion,dont idiot muslim peopl
religion,idiot muslim your
religion,f**k idiot muslim
religion,idiot muslim racist
religion,dont idiot like muslim
religion,idiot im muslim
religion,didnt idiot muslim
religion,back idiot muslim
religion,idiot muslim think
religion,black idiot muslim
religion,go idiot muslim
religion,idiot muslim well
religion,idiot keep muslim
religion,idiot muslim way
religion,idiot let muslim
religion,idiot make muslim
religion,happen idiot muslim
religion,idiot muslim white
religion,idiot muslim problem
religion,idiot muslim take
religion,attack terrorist
religion,come idiot muslim
religion,idiot muslim realli
religion,get idiot muslim
religion,ask idiot muslim
religion,idiot muslim talk
religion,idiot muslim said
religion,alway idiot muslim
religion,cant idiot muslim
religion,idiot muslim see
religion,believ idiot muslim
religion,guy idiot muslim
religion,idiot muslim that
religion,idiot muslim thing
religion,idiot muslim need
religion,even idiot muslim
religion,idiot muslim wrong
religion,give idiot muslim
religion,communiti idiot muslim
religion,idiot indian muslim
religion,fact idiot muslim
religion,idiot much muslim
religion,countri idiot muslim
religion,call idiot muslim
religion,idiot muslim would
religion,idiot muslim tell
religion,idiot muslim understand
religion,even know
religion,idiot look muslim
religion,hate idiot muslim
religion,idiot muslim time
religion,idiot muslim noth
religion,idiot muslim use
religion,idiot muslim stop
religion,idiot india muslim
religion,hindu idiot muslim
religion,idiot muslim say
religion,idiot muslim year
religion,also idiot muslim
religion,american christian
religion,idiot muslim one
religion,idiot muslim still
religion,idiot muslim want
religion,right trump
religion,idiot mani muslim
religion,idiot muslim us
religion,good idiot muslim
religion,idiot muslim pakistan
religion,idiot live muslim
religion,islam muslim quran
religion,idiot mean muslim
religion,idiot muslim show
religion,idiot love muslim
religion,doesnt idiot muslim
religion,idiot muslim name
religion,hindus idiot muslim
religion,everi idiot muslim
religion,idiot muslim tri
religion,idiot muslim speak
religion,idiot muslim world
religion,idiot muslim terrorist
religion,idiot k**l muslim
religion,human world
religion,idiot muslim read
religion,love right
religion,idiot muslim right
religion,idiot muslim support
religion,idiot muslim religion
religion,idiot muslim never
religion,idiot muslim women
religion,amp idiot muslim
religion,terrorist world
religion,christian idiot muslim
religion,christian love
religion,idiot islam muslim
religion,k**l peopl
religion,christian white
religion,christian jew
religion,right that
religion,dont even
religion,idiot tweet
religion,dont go
religion,muslim peopl terrorist
religion,islam know muslim
religion,support would
religion,dont muslim say
religion,call terrorist
religion,radic us
religion,dont think
religion,quran say
religion,dont want
religion,peopl think
religion,christian would
religion,amp terrorist
religion,islam muslim terrorist
religion,islam pakistan
religion,get peopl
religion,one say
religion,islam religion
religion,dont get
religion,like make
religion,christian thing
religion,muslim tweet
religion,one peopl
religion,religion terror
religion,countri dont
religion,right your
religion,support us
religion,go right
religion,believ christian
religion,peopl say
religion,christian that
religion,dont islam muslim
religion,know say
religion,religion terrorist
religion,make right
religion,peopl religion
religion,law muslim
religion,countri peopl
religion,islam never
religion,muslim s****d
religion,amp terror
religion,countri terror
religion,differ muslim
religion,done muslim
religion,like say
religion,christian take
religion,first idiot
religion,amp like
religion,know like
religion,muslim start
religion,know peopl
religion,anyth muslim
religion,countri like
religion,jihad terror
religion,bad muslim
religion,america muslim
religion,christian need
religion,peopl quran
religion,get right
religion,isi peopl
religion,day muslim
religion,christian us
religion,muslim yes
religion,right want
religion,like think
religion,care muslim
religion,christian your
religion,christian time
religion,muslim r**e
religion,muslim state
religion,christian hate
religion,right think
religion,islam like muslim
religion,human terror
religion,islam stop
religion,k**l like
religion,dont k**l
religion,one terrorist
religion,muslim person
religion,first muslim
religion,hindus islam
religion,human peopl
religion,isi terror
religion,muslim whole
religion,jew muslim
religion,muslim word
religion,know radic
religion,man muslim
religion,countri terrorist
religion,attack muslim
religion,say terrorist
religion,christian make
religion,muslim nation
religion,call islam
religion,christian one
religion,amp islam
religion,amp right
religion,human right
religion,like one
religion,one terror
religion,know support
religion,one right
religion,dont terrorist
religion,christian go
religion,countri islam
religion,islam want
religion,also islam
religion,call christian
religion,islam one
religion,muslim must
religion,christian get
religion,islam time
religion,follow muslim
religion,islam use
religion,m****r muslim
religion,hate islam
religion,christian even
religion,christian want
religion,support terrorist
religion,know terrorist
religion,christian think
religion,go islam
religion,even islam
religion,group muslim
religion,g*d idiot
religion,islam think
religion,christian religion
religion,radic terrorist
religion,support terror
religion,g*d muslim
religion,muslim ur
religion,christian k**l
religion,christian human
